trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
132,False,"{'a': 0.5, 'e': 0.3516031059824349}",30,11,18.25748911879392,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.350236456750312}",25,7,-36.804161507150006,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.348872261396595}",20,13,14.48505686007244,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.34751053780725555}",20,0,-45.35561879086674,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.34615130371468894}",25,9,26.262636551992472,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.344794576697057}",20,0,1.6943516421825922,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.34344037417764955}",20,0,-41.86294230636065,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.3420887134242659}",30,21,10.045128164511677,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.34073961154861454}",25,15,4.332713669318742,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.33939308550573233}",20,2,-78.24383395272639,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
142,False,"{'a': 0.5, 'e': 0.3380491520934221}",25,0,-22.449345777578383,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.3367078279517105}",20,7,-9.69581912956787,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.3353691295623231}",20,8,-77.99171851958464,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
145,False,"{'a': 0.5, 'e': 0.3340330732481797}",25,6,-46.65870768885693,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.3326996751729084}",25,11,5.271163153953102,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.3313689513403776}",20,0,-41.615644823836504,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.3300409175942483}",20,10,-23.256127186346824,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.32871558961754394}",20,0,-50.86216577652743,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.32739298293223956}",20,0,-7.422235399703881,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.32607311289886975}",20,0,-24.64416761738926,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.3247559947161548}",20,0,-6.819873761654162,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.32344164342064613}",20,11,-27.702255938471023,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.3221300738863894}",25,11,16.61412282455674,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.320821300824607}",20,12,-8.620619391872733,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.3195153387833982}",25,2,-17.57573431685691,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.31821220214745816}",20,9,18.93222286281691,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.3169119051378149}",20,2,28.90620593817623,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.31561446181158487}",20,8,-4.811591924473015,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.31431988606174616}",25,10,14.747539584370418,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.31302819161693}",25,13,-1.3762508589535345,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.31173939204123047}",30,19,4.534190971847417,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.3104535007340317}",30,18,11.698553680864656,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.309170530929853}",25,12,22.029132347685223,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.3078904956982118}",30,17,-22.16624154987263,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.3066134079435043}",20,7,-19.611124984068226,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.3053392804049032}",25,12,20.73090151041511,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.30406812565627334}",25,0,-3.7010234519439145,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.3027999561061045}",20,0,21.347082285864172,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.30153478399746125}",30,21,16.04521420209543,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.3002726214079501}",25,0,-57.10923251676875,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.2990134802497037}",30,0,-33.43949664156045,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",1
173,False,"{'a': 0.5, 'e': 0.29775737226938176}",20,0,27.853340634014682,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.29650430904818886}",25,10,-40.15905444073699,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.295254302001909}",20,9,19.28864028952186,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.29400736238095626}",20,0,-43.49484565827174,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.29276350127044276}",25,0,-24.195482703086093,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.29152272959026204}",25,19,6.4647276153496325,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.290285058095189}",25,8,-72.10363945684539,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
180,False,"{'a': 0.5, 'e': 0.289050497374996}",20,0,5.7470556230590875,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.28781905785458484}",25,0,-26.22587116326348,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
